БЕЛГОРОДСКАЯ ЗЕРНОВАЯ КОМПАНИЯ (ЗАО);(47242) 4-95-25, 4-95-40
«БЕРЕЗИНО» ООО;(48351) 2-79-04, 9-74-48
«БИО-М» ЗАО;(48343) 9-52-66, 9-52-97
«БИОТЕРРА» ООО;(48352) 2-50-19, 2-51-19
«БОБОВНЯ» МУП;(48352) 9-47-41
«БОБРИКОВСКИЙ» КОЛХОЗ;(48355) 9-56-21, 9-56-37
«БОБЫЛЕВ В.В.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48348) 2-12-53
«БОГАЧЕВА Л.Н.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48348) 2-20-70
«БОГОМАЗ О.А.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48348) 2-22-56, 9-11-49
«БОЕВИК» ФЕДЕРАЛЬНОЕ ГУП. СЕЛЬСКОХОЗЯЙСТВЕННАЯ АКАДЕМИЯ;(48343) 9-94-92
«БОЛЬШЕВИК» КОЛХОЗ;(48348) 9-44-46
«БОЛЬШЕВИК» ООО;"(48349) 2-14-66; (960) 563-20-07"
«БОЛЬШЕВИК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48346) 9-46-72
«БОЛЬШЕВИК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48356) 9-41-18, 9-41-31
«БОР» ЗАО;(48342) 3-12-24
«БРЯНСКИЙ БРОЙЛЕР» ООО. АГРОПРОМЫШЛЕННЫЙ ХОЛДИНГ «МИРАТОРГ»;"(4832) 67-09-00; (495) 775-06-50 (Москва)"
«БРЯНСКИЙ СТРАУС» ОАО;(48351) 2-28-98, 2-12-16, 2-55-77
«БУДЛЯНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48344) 3-06-22, 3-06-21
«БУЛАТКИН Н.Н.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48344) 3-46-30
«БУСЛАН» ООО;(48333) 3-15-34, 3-38-58
«БУЧНЕВО» ООО;(48342) 2-22-21, 2-22-69
«БЫХОВСКОЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48355) 9-37-15
«ВАСИЛЕВСКИЙ» ООО;(48349) 9-62-62
«ВАСИЛЬЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48348) 9-27-32, 9-27-29
«ВЕЛЬЯМИНОВО» ТОВАРИЩЕСТВО на ВЕРЕ;(4832) 92-92-30
«ВЕРА» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48356) 9-12-83, 9-15-05
«ВЕРЕЩАКИ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48343) 5-31-37, 9-43-15, 9-43-10
«ВЕРНИГОР Д.П.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48346) 9-16-90
«ВЕТЛЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48339) 9-44-35
«ВИКТОРИЯ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48342) 2-22-21, 2-22-69
«ВИШНЕВОЕ» ООО;(48347) 5-75-25
«ВЛАСТЬ СОВЕТОВ» ТОВАРИЩЕСТВО на ВЕРЕ;(48345) 5-56-47
«ВОЗРОЖДЕНИЕ» ООО;(48356) 9-19-19, 9-12-13
«ВОЗРОЖДЕНИЕ» ТОВАРИЩЕСТВО на ВЕРЕ;(48331) 9-63-25
«ВОЛНА РЕВОЛЮЦИИ» КОЛХОЗ;(48348) 9-42-10, 9-42-42
«ВОЛНА РЕВОЛЮЦИИ» КОЛХОЗ;(48330) 9-31-43
«ВОЛНА РЕВОЛЮЦИИ» ФЕДЕРАЛЬНОЕ ГУП. СЕЛЬСКОХОЗЯЙСТВЕННАЯ АКАДЕМИЯ;(48343) 5-55-43, 5-55-35
«ВОЛНА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48336) 4-16-23, 4-16-86, 4-24-76
«ВОРОНКОВ Н.И.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48354) 9-13-32, 9-10-03
«ВОСТОК» ТОВАРИЩЕСТВО на ВЕРЕ;(48339) 2-11-21, 2-23-56
«ВОСХОД» МУП;(48352) 9-45-45, 9-45-43
«ВОСХОД» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;"(48330) 9-41-31; (961) 108-30-98"
«ВПЕРЕД» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;"(48343) 5-31-40, 9-37-43; (905) 104-66-06"
«ГАБАЧИЕВ Р.М.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48354) 9-13-32, 9-10-03
«ГАВРЕНКОВ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48331) 9-52-22
«ГАПЕЕНКО В.Н.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48348) 2-22-56
«ГЕТМАНОБУДСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48347) 5-95-45
«ГЕТУНОВКА» ООО;(48349) 9-33-10, 9-33-36
«ГЛИННОЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48340) 2-22-21
«ГОРБАЧЕВА С.В.» ИНДИВИДУАЛЬНОЕ ПРЕДПРИЯТИЕ;(48348) 2-22-56
«ГОРДЕЕВ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48342) 2-22-21, 2-22-69
«ГОРНИЦКИЙ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48358) 9-23-94
«ГОРОДИЩЕНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48354) 9-65-10
«ГОРОДИЩЕНСКОЕ» ООО;(48349) 9-37-45
«ГРАБЕЛЬНИКОВ Л.Н.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48348) 2-22-19
«ГРИНЕВО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48349) 9-63-33
«ДЕДОПЕНЬКО В.И.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48339) 9-53-41
«ДЕЛЬТА» ООО;(960) 561-69-81
«ДЕСНА-АГРО» ООО;(48335) 9-45-05, 9-45-04
«ДЕСНА» ООО;(48349) 2-17-92, 2-13-91
«ДЕСНА» ТОВАРИЩЕСТВО на ВЕРЕ;(48341) 2-74-38, 2-74-10
«ДЕСНЯНСКИЕ ЗОРИ» ООО;(48341) 2-58-40
«ДЖЕНЕРАЛАГРОПОЧЕП» ООО;(48345) 3-12-82, 3-24-23
«ДОВГАЛЕВ М.М.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48348) 9-12-61
«ДОЛГОВ А.Т.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48335) 2-46-88
«ДОМАШОВСКОЕ» СЕЛЬСКОХОЗЯЙСТВЕННОЕ ГУП. АДМИНИСТРАЦИЯ БРЯНСКОЙ ОБЛАСТИ;(4832) 97-81-21
«ДРУЖБА-2? ООО;(4832) 67-50-80
«ДРУЖБА» КОЛХОЗ;(48349) 9-55-74
«ДРУЖБА» ООО;(4832) 67-50-80
«ДРУЖБА» ООО;(48354) 9-42-21
«ДРУЖБА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48358) 2-18-49, 2-19-73
«ДРУЖБА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48347) 5-27-38
«ДРУЖБА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48336) 4-99-53
«ДРУЖБА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48342) 2-30-21
«ДРУЖБА» ТОВАРИЩЕСТВО на ВЕРЕ;(48351) 2-79-03, 9-82-85
«ДУБЕНЕЦКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48346) 9-19-51
«ДУБИНИНА Е.И.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48335) 9-17-45, 9-17-47
«ДУБРАВА» ООО;(48356) 9-31-18
«ДУБРАВА» ООО;(48334) 9-35-25
«ДУБРАВА» ТОВАРИЩЕСТВО на ВЕРЕ;(48354) 2-46-35
«ДУБРОВА» КОЛХОЗ;(48339) 9-33-47
«ДУЛЬЦЕВ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48330) 9-42-10
«ДУНАЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48335) 9-43-30, 9-43-44
«ДУШКИНО» СЕЛЬХОЗКООПЕРАТИВ;(48336) 3-22-22
«ДЯТЬКОВО» ФЕДЕРАЛЬНОЕ ГУП. РОССИЙСКАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ АКАДЕМИЯ;(48333) 4-83-35, 4-83-32, 4-83-10
«ЕЛИЗАРОВА» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48351) 2-10-32, 2-24-26
«ЕФИМЕНКО П.И.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48346) 9-18-63, 9-63-92
«ЖДАНКОВКА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48348) 9-44-46
«ЖЕВЕДА» ООО;(48347) 2-77-34, 2-33-18
«ЖЕЛЕЗНОДОРОЖНИК» ОАО;(48335) 9-31-10
«ЖЕНЬШЕНЬ» ООО;(48351) 2-56-72
«ЖУКОВ А.И.» ИНДИВИДУАЛЬНОЕ ПРЕДПРИЯТИЕ;(48351) 2-10-32, 2-24-26
«ЗАВЕТЫ ИЛЬИЧА» КОЛХОЗ;(48348) 9-11-92, 9-11-98
«ЗАВОЛОКО Н.И.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48349) 2-11-85, 2-22-62, 2-16-91
«ЗАЙЦЕВ» ИНДИВИДУАЛЬНОЕ ПРЕДПРИЯТИЕ;(48348) 2-34-49
«ЗАПАДНЫЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;"(48330) 9-53-18; (910) 293-40-87"
«ЗАРЕЦКИЙ» КРЕСТЬЯНСКОЕ ХОЗЯЙСТВО;(4832) 73-09-50
«ЗАРЕЧЕНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48332) 9-94-45
«ЗАРЕЧЬЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48343) 9-24-79
«ЗАРЯ» ООО;(48349) 9-25-47
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48336) 4-16-23, 4-16-86, 4-24-76
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48339) 9-47-45, 9-47-31
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48355) 9-42-31
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48354) 9-63-42
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48344) 3-06-22, 3-06-21
«ЗАРЯ» ТОВАРИЩЕСТВО на ВЕРЕ;(48345) 3-12-82, 3-24-23
«ЗАУЛЬЕ» ТОВАРИЩЕСТВО на ВЕРЕ;(48356) 9-36-34
«ЗАХАРЧЕНКО А.В.» ИНДИВИДУАЛЬНОЕ ПРЕДПРИЯТИЕ;(48348) 2-22-56
«ЗАХАРЧЕНКО Е.А.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48330) 2-23-07, 2-15-61
«ЗЕМЛЕДЕЛЕЦ» ООО;(48334) 3-12-53, 3-25-41, 3-16-31
«ЗЕМЛЯ КУЛИКОВА» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48347) 2-15-86, 2-15-81
«ЗЕРНОВО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48353) 2-43-34
«ЗИМНИЦКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48332) 9-15-46, 9-14-35, 9-22-52
«ЗЛЫНКА» МАШИННО-ТЕХНОЛОГИЧЕСКАЯ СТАНЦИЯ. АДМИНИСТРАЦИЯ ЗЛЫН-КОВСКОГО РАЙОНА;(48358) 2-17-53
«ЗНАМЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48354) 9-53-47, 9-53-17
«ЗОЛОТОЙ КОЛОС» ООО;(48349) 9-44-33
«ЗУБОВСКОЕ» ООО;(48342) 2-22-21, 2-22-69
«ИВАНЮК» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48334) 3-12-53, 3-25-41, 3-16-31
«ИВАШКОВ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48331) 2-12-38, 2-11-07
«ИГНАТЕНКОВ С.А.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48344) 3-06-22, 3-06-21
«ИПУТЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48336) 3-24-21
«ИРПА» ООО;(48347) 2-12-89
«ИСКРА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48339) 9-53-37
«ИСТОК» ООО;(48331) 9-42-10, 9-42-25
«ИСТОК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48353) 2-63-23
«ИСТОК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48349) 9-34-10
«КАЗАРЕЗ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48349) 9-52-37
«КАЛИНИНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48332) 9-42-33, 9-42-34
«КАЛУГО В.А.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48330) 2-23-07, 2-15-61
«КАМЕНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(962) 143-44-67
«КАМЕНСКОХУТОРСКОЕ» ООО;(48347) 5-16-10
«КАРАВАЙ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48355) 9-47-45
«КАРАЛИТ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48335) 2-15-51, 2-56-36
«КАРПИЛОВКА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48358) 9-53-18, 9-53-36
«КАРТАВАЯ С.К.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48345) 3-12-82, 3-24-23
«КАРТОФЕЛЬНАЯ НИВА» ООО;(48351) 2-27-31, 2-15-85
«КАТАШОНОВ А.И.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48356) 9-41-11
«КАЧУРИНА М.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48353) 2-19-85
«КИСЕЛЕВ С.С.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48352) 2-46-01
«КИСТЕРСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48349) 9-52-32, 9-52-30
«КЛЕТНЯ-ЛЕСНОЕ» СЕЛЬСКОХОЗЯЙСТВЕННОЕ МУП;(48338) 9-53-37
«КЛЕТНЯ-МТС» СЕЛЬСКОХОЗЯЙСТВЕННОЕ МУП;(48338) 9-10-73
«КЛЕТНЯ-РЫБА» МУП;(48338) 9-53-38
«КЛЕТНЯНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48338) 9-35-42
«КЛИМОВСКИЙ КАРТОФЕЛЬ» СЕЛЬХОЗПРЕДПРИЯТИЕ;(48347) 5-96-67, 2-17-79
«КЛЮКОВЕНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48342) 4-12-47
«КНЯГИНИНО» ТОВАРИЩЕСТВО на ВЕРЕ;(48356) 9-33-28
«КОВАЛЕВ и К» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48343) 5-84-20
«КОЖАНОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48340) 2-35-15, 2-35-20
«КОЖЕМЯКО И.В.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(910) 233-62-41
«КОЖЕМЯКО С.И.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48346) 9-18-63, 9-63-92
«КОКИНО» УЧЕБНО-ОПЫТНОЕ ХОЗЯЙСТВО. БРЯНСКАЯ ГОСУДАРСТВЕННАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ АКАДЕМИЯ;(48341) 2-47-71, 2-41-74
«КОЛОДНЯНКА» ООО;(48344) 3-06-22, 3-06-21
«КОЛОС» ООО;(48347) 2-84-43
«КОЛОС» ООО;(48330) 9-44-24
«КОЛОС» ООО;(48339) 2-25-46
«КОЛОС» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48353) 2-19-85
«КОЛХОЗНИК» ООО. ЧАУСОВСКОЕ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПО;(48349) 9-32-17
«КОЛЫШКИНО СХ» ООО;"(48332) 9-92-33; (4832) 68-70-16"
«КОМАРИЧСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48355) 9-18-17, 9-17-57
«КОММУНАР» ОАО;(48334) 9-55-25
«КОММУНАР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48343) 9-12-10
«КОММУНИСТ» КОЛХОЗ;(48358) 9-35-84
«КОМСОМОЛЕЦ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48343) 5-31-34, 9-45-68
«КОРБАНОВИЧ Г.Н.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48345) 3-12-82, 3-24-23
«КОРНА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48338) 9-13-61
«КОРОТКИНА» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48331) 9-82-31
«КРАПИВНОЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48347) 5-94-31
«КРАСНАЯ РОЩА» ООО;(48349) 2-17-92, 2-13-91
«КРАСНОВИЧИ» ТОВАРИЩЕСТВО на ВЕРЕ;"(48351) 9-14-18; (960) 557-90-73"
«КРАСНОГВАРДЕЕЦ» КОЛХОЗ;(48348) 9-42-33, 9-42-18
«КРАСНОЕ ЗНАМЯ» ПРОИЗВОДСТВЕННЫЙ СЕЛЬХОЗКООПЕРАТИВ;(48345) 5-57-47
«КРАСНОЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48354) 9-47-17
«КРАСНОКОСАРОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48339) 9-54-32
«КРАСНЫЙ МАЯК» КОЛХОЗ;(48348) 9-26-33, 9-26-24
«КРАСНЫЙ ОКТЯБРЬ» ТОВАРИЩЕСТВО на ВЕРЕ;(48348) 9-51-24, 9-52-23, 9-51-22
«КРАСНЫЙ РОГ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48345) 5-34-46
«КРАСНЫЙ СИГНАЛ» КОЛХОЗ;(48345) 3-23-17
«КРЕСТЬЯНСКОЕ ПОДВОРЬЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (ООО);(48335) 2-46-88
«КРИВУШИНА Е.В.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48345) 3-12-82, 3-24-23
«КРИВЦОВ И.Н.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48332) 9-52-32
«КРУГЛИКОВ В.И.» ИНДИВИДУАЛЬНОЕ ПРЕДПРИЯТИЕ;(48339) 2-11-21, 2-23-56
«КРУЖАЛОВКА» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48349) 9-27-29
«КРУТОБЕРЕЗКА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48343) 9-46-41
«КУЗЮКОВ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48354) 9-64-32
«КУКЛО Н.Ф.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48348) 2-22-56
«КУЛАКОВА Л.Н.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48348) 2-22-56
«КУЛЬКОВА М.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48353) 2-19-85
«КУЛЬНЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48344) 3-06-22, 3-06-21
«КУЛЬТУРА» АГРОФИРМА;(4832) 92-32-34, 32-34-48, 92-32-36, 9232-31
«КУПРУЖ» ООО;(48335) 2-46-88, 9-36-43, 2-55-32
«КУРИНОЕ ЦАРСТВО — БРЯНСК» ЗАО;(4832) 67-14-00
«КУРШАНОВИЧСКОЕ» ООО;(48347) 2-76-33
«ЛЕВИН» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(4832) 91-11-14
«ЛЕДЕНЕВО» СЕЛЬХОЗПРЕДПРИЯТИЕ (ООО);(48334) 2-16-75
«ЛЕНИНСКИЙ ПУТЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48336) 2-99-46, 3-36-13
«ЛЕНИНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48332) 9-33-40
«ЛЕСКОВО» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(48351) 2-10-32, 2-24-26
«ЛЕТЧА-АГРО» ООО;(48354) 9-22-54
«ЛЕТЧА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48354) 9-65-10
«ЛОБАНОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48347) 2-15-86, 2-15-81
«ЛОГОВАТОЕ» ООО;(48348) 9-42-43
«ЛОКОТСКОЙ» КОНЕЗАВОД (ЗАО);(48354) 9-16-46
«ЛОТАКИ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48346) 9-24-12
«ЛУЖКИ» ТОВАРИЩЕСТВО на ВЕРЕ;(48348) 9-33-16
«ЛУТНА» ООО;(48338) 9-24-33
«ЛУЧ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48344) 3-26-36
«ЛУЧ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48358) 9-73-30
«ЛУЧ» СЕЛЬХОЗПРЕДПРИЯТИЕ (ООО);(48340) 2-11-36
«ЛЫСОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(48358) 9-13-43
«ЛЬВОВ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(4832) 94-47-67, 94-47-30
